opus,name,composer,type
129,Cello Concerto in A minor,Robert Schumann,Concerto
9,Carnaval,Robert Schumann,
94,3 Romances op. 94,Robert Schumann,
70,Adagio and Allegro,Robert Schumann,
W23,Violin concerto in D minor,Robert Schumann,
28,3 Romances op. 28,Robert Schumann,
44,Piano Quintet,Robert Schumann,
47,Piano Quartet in E flat major,Robert Schumann,Quartet
17,"Trio in G minor for piano, violin and cello",Clara Schumann,Trio
16,3 Preludes and Fugues for Piano,Clara Schumann,Fugue
14,Scherzo for Piano no 2 in C minor,Clara Schumann,Scherzo
21:2,Die Schöpfung (The Creation),Franz Joseph Haydn,
1:94,"Symphony no. 94 ""Surprise""",Franz Joseph Haydn,Symphony
9:22,10 Menuets for piano,Franz Joseph Haydn,
16:49,Piano Sonata No. 59 in E flat major,Franz Joseph Haydn,Sonata
1:104,"Symphony no. 104 ""london""",Franz Joseph Haydn,Symphony
22:9,"Missa in Tempore Belli ""Paukenmesse""",Franz Joseph Haydn,
7a:4,Violin concerto no. 4 in G major,Franz Joseph Haydn,
22:7,"Missa Brevis ""Sancti Joannis de Deo""",Franz Joseph Haydn,
1:100,"Symphony no. 100 ""Military""",Franz Joseph Haydn,Symphony
19,32 Pieces for mechanical clock (Flötenuhr),Franz Joseph Haydn,
22:11,"Mass in D minor """"Lord Nelson""",Franz Joseph Haydn,Mass
4:1,London Trio no.1 in C major,Franz Joseph Haydn,Trio
18:11,Piano concerto in D major H. 18:11,Franz Joseph Haydn,
22:6,"Missa Sancti Nicholai ""St. Nicholas Mass""",Franz Joseph Haydn,Mass
7e:1,Trumpet Concerto,Franz Joseph Haydn,Concerto
16:50,Piano Sonata No. 60 in C major,Franz Joseph Haydn,Sonata
16:37,Piano Sonata No. 50 in D major,Franz Joseph Haydn,Sonata
3:63,"String quartet in D major ""The Lark""",Franz Joseph Haydn,
1:101,"Symphony no. 101 ""Clock""",Franz Joseph Haydn,Symphony
1:34,Symphony no. 34,Franz Joseph Haydn,Symphony
1,24 Caprices,Niccolò Paganini,Caprice
6,Concerto no. 1 in D major,Niccolò Paganini,Concerto
1007,Cello Suite No. 1 in G major,Johann Sebastian Bach,Suite
1046,Brandenburg Concerto No. 1,Johann Sebastian Bach,Concerto
565,Toccata and Fugue in d minor,Johann Sebastian Bach,Fugue
939+,5 Little Preludes (BWV939-943),Johann Sebastian Bach,Prelude
1001,Violin Sonata No. 1 in G minor,Johann Sebastian Bach,Sonata
846+,Well-Tempered Clavier I,Johann Sebastian Bach,
244,St. Matthew Passion,Johann Sebastian Bach,
1068,Orchestral Suite No. 3 in D (contains Air on the G string),Johann Sebastian Bach,Suite
1004,Violin Partita no. 2 in D minor,Johann Sebastian Bach,
988,Goldberg Variations,Johann Sebastian Bach,Variations
232,Mass in B minor,Johann Sebastian Bach,Mass
243,Magnificat in D Major,Johann Sebastian Bach,
578,"Fugue in G minor ""Little""",Johann Sebastian Bach,Fugue
1043,Concerto for 2 violins in D minor,Johann Sebastian Bach,Concerto
772+,Two-part inventions,Johann Sebastian Bach,
1009,Cello Suite No. 3 in C,Johann Sebastian Bach,Suite
1080,Art of fugue (Die Kunst der Fuge),Johann Sebastian Bach,
147,Herz und Mund und Tat und Leben (contains Jesu joy of man''s desiring),Johann Sebastian Bach,
1048,Brandenburg Concerto No. 3,Johann Sebastian Bach,Concerto
649,"Ach bleib bei uns, Herr Jesu Christ BWV649",Johann Sebastian Bach,
36:1,Sonatina Op.36 No.1 in C major,Muzio Clementi,
36:3,Sonatina Op.36 No.3 in C major,Muzio Clementi,
36:2,Sonatina Op.36 No.2 in G major,Muzio Clementi,
36:6,Sonatina Op.36 No.6 in D major,Muzio Clementi,
36:4,Sonatina Op.36 No.4 in F major,Muzio Clementi,
36:5,Sonatina Op.36 No.5 in G major,Muzio Clementi,
24:3,Piano sonata in E flat op. 24 no. 3,Muzio Clementi,
50:3,"Piano Sonata in G Minor ""Didone Abbandonata""",Muzio Clementi,Sonata
25:5,Piano Sonata No. 5 in F Sharp Minor Op. 25,Muzio Clementi,Sonata
24:2,Sonata in B flat Major,Muzio Clementi,Sonata
25:6,Piano Sonata no. 6 in D major op. 25,Muzio Clementi,Sonata
167,Sonatina in A major,Carl Czerny,
911,Winterreise,Franz Schubert,
839,Ave Maria (Ellens Gesang III),Franz Schubert,
759,"Symphony No. 8 in B minor ""Unfinished""",Franz Schubert,Symphony
957,Schwanengesang,Franz Schubert,
899,4 impromptus for piano op 90,Franz Schubert,
929,Piano Trio No. 2 in E flat,Franz Schubert,Trio
810,"String Quartet No.14 ""Death and the Maiden""",Franz Schubert,Quartet
795,Die Schöne Müllerin,Franz Schubert,
935,4 Impromptus for piano op 142,Franz Schubert,Impromptu
960,Piano Sonata No. 21 in B flat D960,Franz Schubert,Sonata
780,"6 Moments musicaux for piano, opus 94",Franz Schubert,
156,10 Variations in F for Piano,Franz Schubert,Variations
167,Mass No.2 in G,Franz Schubert,Mass
944,"Symphony No. 9 in C major ""The Great""",Franz Schubert,Symphony
872,Deutsche Messe,Franz Schubert,
845,Sonata No. 16 in A minor,Franz Schubert,Sonata
898,Piano Trio No. 1 in B flat,Franz Schubert,Trio
956,Cello Quintet in C op. 163,Franz Schubert,
667,"Quintet in A ""Forellen""",Franz Schubert,
797,"Rosamunde, Fürstin von Cypern",Franz Schubert,
20a,Swan Lake (suite),Pyotr Ilyich Tchaikovsky,
23,Piano Concerto no. 1,Pyotr Ilyich Tchaikovsky,Concerto
71a,The Nutcracker - suite,Pyotr Ilyich Tchaikovsky,
71,The Nutcracker,Pyotr Ilyich Tchaikovsky,
74,"Symphony No.6 ""Pathétique""",Pyotr Ilyich Tchaikovsky,Symphony
49,1812,Pyotr Ilyich Tchaikovsky,
35,Violin Concerto,Pyotr Ilyich Tchaikovsky,Concerto
36,Symphony No.4,Pyotr Ilyich Tchaikovsky,Symphony
37a,The Seasons,Pyotr Ilyich Tchaikovsky,
66,The Sleeping Beauty,Pyotr Ilyich Tchaikovsky,
64,Symphony No.5,Pyotr Ilyich Tchaikovsky,Symphony
50,Piano Trio in A minor op. 50,Pyotr Ilyich Tchaikovsky,Trio
24,Eugene Onegin,Pyotr Ilyich Tchaikovsky,
44,Piano Concerto No. 2,Pyotr Ilyich Tchaikovsky,Concerto
42,Souvenir d''un lieu cher,Pyotr Ilyich Tchaikovsky,
39,Children''s Album,Pyotr Ilyich Tchaikovsky,
58,Symphony Manfred,Pyotr Ilyich Tchaikovsky,Symphony
56,Concert Fantasia,Pyotr Ilyich Tchaikovsky,Fantasia
68,Pique dame,Pyotr Ilyich Tchaikovsky,
10,12 Etudes Op. 10,Frédéric Chopin,Etude
9,Nocturnes Op.  9 (pour Madame Pleyel),Frédéric Chopin,Nocturnes
66,Fantasie Impromptu,Frédéric Chopin,Impromptu
27,2 Nocturnes Op. 27,Frédéric Chopin,Nocturnes
11,Piano Concerto No. 1,Frédéric Chopin,Concerto
72:1,Nocturne no. 19 in E minor,Frédéric Chopin,Nocturne
25,12 Etudes Op. 25,Frédéric Chopin,Etude
23,Ballade No.1,Frédéric Chopin,Ballade
64,Waltzes for piano op 64,Frédéric Chopin,Waltz
28,Preludes,Frédéric Chopin,Prelude
21,Piano Concerto No. 2,Frédéric Chopin,Concerto
35,Piano Sonata No.2 in B flat minor,Frédéric Chopin,Sonata
53,Polonaise No. 6 A flat Major ''Heroic'',Frédéric Chopin,Polonaise
69,2 Waltzes Op. 69,Frédéric Chopin,Waltz
150,Waltz no. 19 in A minor,Frédéric Chopin,Waltz
37,2 Nocturnes Op. 37,Frédéric Chopin,Nocturnes
42,"Waltz no.  5 in A flat major ""Grande Valse""",Frédéric Chopin,Waltz
55,Nocturnes Op. 55,Frédéric Chopin,Nocturnes
68,Symphony No. 1 in C minor,Johannes Brahms,Symphony
45,Deutsches Requiem,Johannes Brahms,Requiem
98,Symphony No. 4 in E minor,Johannes Brahms,Symphony
122,11 Choral Preludes for Organ,Johannes Brahms,Prelude
90,Symphony No. 3 in F Major,Johannes Brahms,Symphony
38,Cello Sonata No. 1 in E minor,Johannes Brahms,Sonata
15,Piano Concerto No. 1 in D minor,Johannes Brahms,Concerto
73,Symphony No. 2 in D Major,Johannes Brahms,Symphony
39,16 Waltzes for Piano,Johannes Brahms,Waltz
W35,12 german folk songs,Johannes Brahms,
83,Piano Concerto No. 2,Johannes Brahms,Concerto
78,Violin Sonata No. 1 in G major,Johannes Brahms,Sonata
52,Liebeslieder Waltzes for voice and piano,Johannes Brahms,Waltz
79,2 Rhapsodies for Piano,Johannes Brahms,
108,Violin Sonata No. 3 in D minor,Johannes Brahms,Sonata
54,Schicksalslied,Johannes Brahms,
18,String Sextet No. 1,Johannes Brahms,
25,Piano Quartet No. 1 in G minor,Johannes Brahms,Quartet
114,Clarinet Trio in A minor,Johannes Brahms,Trio
139,12 Transcendental Etudes,Franz Liszt,Etude
244,Hungarian Rhapsodies,Franz Liszt,
541,Liebesträume: 3 Notturnos,Franz Liszt,
124,Piano Concerto No. 1 in E flat,Franz Liszt,Concerto
178,Piano Sonata in B minor,Franz Liszt,Sonata
514,Mephisto Waltz No 1,Franz Liszt,Waltz
144,3 concert etudes,Franz Liszt,
125,Piano Concerto No. 2 in A major,Franz Liszt,Concerto
558,12 Lieder (Schubert),Franz Liszt,Lieder
511a,Les Préludes (v2),Franz Liszt,
359,Hungarian Rhapsodies for orchestra (Doppler),Franz Liszt,
160,Années de pèlerinage I,Franz Liszt,
141,6 trancendental etudes after Paganini (v2),Franz Liszt,
145,2 concert etudes,Franz Liszt,
126ii,"Totentanz Paraphrase on ""Dies Irae""",Franz Liszt,
407,"Waltz from Gounod''s ""Faust""",Franz Liszt,Waltz
97,Les Preludes (orch),Franz Liszt,Prelude
172,Consolations,Franz Liszt,
480,6 Chants Polonais (Chopin),Franz Liszt,Chants
566,Widmung (Schumann),Franz Liszt,
67,Symphony No. 5 in C minor,Ludwig van Beethoven,Symphony
27:2,"Piano Sonata No. 14 ""Moonlight""",Ludwig van Beethoven,Sonata
125,"Symphony No. 9 ""choral""",Ludwig van Beethoven,Symphony
W59,Für Elise,Ludwig van Beethoven,
92,Symphony No. 7 in A major,Ludwig van Beethoven,Symphony
13,"Piano Sonata No. 8 ""Pathétique""",Ludwig van Beethoven,Sonata
68,"Symphony No. 6 ""Pastorale""",Ludwig van Beethoven,Symphony
21,Symphony No. 1 in C major,Ludwig van Beethoven,Symphony
73,"Piano Concerto No. 5 ""Emperor""",Ludwig van Beethoven,Concerto
55,"Symphony No. 3 ""Eroica""",Ludwig van Beethoven,Symphony
35,"15 Variations with Fugue ""Eroica-Variationen""",Ludwig van Beethoven,Fugue
57,"Piano Sonata No. 23 ""Appassionata""",Ludwig van Beethoven,Sonata
10:1,Piano Sonata No. 5 in C minor,Ludwig van Beethoven,Sonata
15,Piano concerto No. 1 in C major,Ludwig van Beethoven,
2:1,Piano Sonata No. 1 in F minor,Ludwig van Beethoven,Sonata
61,Concerto for Violin & Orchestra,Ludwig van Beethoven,Concerto
110,Piano Sonata no. 31 in A flat major,Ludwig van Beethoven,Sonata
53,"Piano Sonata No. 21 ""Waldstein-Sonate""",Ludwig van Beethoven,Sonata
7,Piano Sonata No. 4 in E flat major,Ludwig van Beethoven,Sonata
36,Symphony No. 2 in D major,Ludwig van Beethoven,Symphony
