,rank,name,opus,versions,duration,composer_name,composer_life
44,6,"Keyboard Concerto in A minor, H403",1,1,19m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
45,7,Symphony No. 3 in C major Wq182,182:3,1,11m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
46,8,"Sonata for clarinet, bassoon & keyboard No. 1",92:1,1,4m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
47,9,Flute Sonata in E minor (Wq 124),124,1,6m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
48,10,Keyboard concerto in D minor H427,23,1,24m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
49,11,"Sonata for clarinet, bassoon & keyboard No. 6",92:6,1,5m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
50,12,Die Trennung in D minor,202:O4,1,2m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
51,13,Symphony in E flat major Wq183,183:2,1,11m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
52,14,Symphony in F major Wq183,183:3,1,11m,Carl Philipp Emanuel Bach,8 mar 1714 (Weimar) -  14 dec 1788 (Hamburg)
53,1,Violin Concerto in E minor,64,2,24m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
54,2,A Midsummer Night's Dream (contains Wedding March),61,1,44m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
55,3,"Symphony no. 4 ""Italian""",90,3,51m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
56,4,"Songs without Words, Vol. I",19,7,17m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
57,5,"Symphony no. 3 ""Scottish""",56,1,32m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
58,6,Elias,70,4,397m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
59,7,"Symphony no. 5 ""Reformation""",107,1,31m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
60,8,"3 English Church Pieces: (solo voices, chorus",69,2,5m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
61,9,Rondo capriccioso in E Major,14,2,7m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
62,10,Paulus,36,2,120m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
63,11,Octet in E Flat Major for strings,20,2,32m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
64,12,"Fantasy in F Sharp minor, ""Sonate écossaise""",28,2,17m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
65,13,"Songs without Words, Vol. II",30,6,18m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
66,14,4 pieces for string quartet,81,1,10m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
