,rank,name,opus,versions,duration,composer_name,composer_life
197,14,Eugene Onegin,24,4,132m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
198,15,Piano Concerto No. 2,44,3,33m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
199,16,Souvenir d'un lieu cher,42,3,11m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
200,17,Children's Album,39,2,28m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
201,18,Symphony Manfred,58,1,47m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
202,19,Concert Fantasia,56,2,30m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
203,20,Pique dame,68,2,163m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
204,1,12 Etudes Op. 10,10,28,29m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
205,2,Nocturnes Op.  9 (pour Madame Pleyel),9,17,9m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
206,3,Fantasie Impromptu,66,5,6m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
207,4,2 Nocturnes Op. 27,27,7,12m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
208,6,Piano Concerto No. 1,11,4,36m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
209,7,Nocturne no. 19 in E minor,72:1,1,5m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
210,8,12 Etudes Op. 25,25,33,32m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
211,9,Ballade No.1,23,10,11m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
212,10,Waltzes for piano op 64,64,11,6m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
213,11,Preludes,28,32,40m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
214,12,Piano Concerto No. 2,21,3,31m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
215,14,Piano Sonata No.2 in B flat minor,35,7,30m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
216,15,Polonaise No. 6 A flat Major 'Heroic',53,4,7m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
217,16,2 Waltzes Op. 69,69,7,9m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
218,17,Waltz no. 19 in A minor,150,3,2m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
219,18,2 Nocturnes Op. 37,37,2,7m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
220,19,"Waltz no.  5 in A flat major ""Grande Valse""",42,2,4m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
221,20,Nocturnes Op. 55,55,9,9m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
222,2,Symphony No. 1 in C minor,68,2,44m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
223,3,Deutsches Requiem,45,2,63m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
224,4,Symphony No. 4 in E minor,98,2,44m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
225,5,11 Choral Preludes for Organ,122,1,7m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
226,6,Symphony No. 3 in F Major,90,3,39m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
227,7,Cello Sonata No. 1 in E minor,38,2,24m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
228,8,Piano Concerto No. 1 in D minor,15,1,46m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
229,9,Symphony No. 2 in D Major,73,1,42m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
230,10,16 Waltzes for Piano,39,9,21m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
231,11,12 german folk songs,W35,1,1m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
232,12,Piano Concerto No. 2,83,2,44m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
233,13,Violin Sonata No. 1 in G major,78,3,28m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
234,14,Liebeslieder Waltzes for voice and piano,52,5,25m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
235,15,2 Rhapsodies for Piano,79,9,17m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
236,16,Violin Sonata No. 3 in D minor,108,4,22m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
237,17,Schicksalslied,54,3,17m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
238,18,String Sextet No. 1,18,4,45m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
239,19,Piano Quartet No. 1 in G minor,25,1,40m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
240,20,Clarinet Trio in A minor,114,6,25m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
241,1,12 Transcendental Etudes,139,9,64m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
242,2,Hungarian Rhapsodies,244,9,124m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
243,3,Liebesträume: 3 Notturnos,541,6,6m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
244,4,Piano Concerto No. 1 in E flat,124,4,20m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
245,5,Piano Sonata in B minor,178,9,35m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
246,6,Mephisto Waltz No 1,514,5,13m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
247,7,3 concert etudes,144,5,6m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
248,8,Piano Concerto No. 2 in A major,125,1,23m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
249,9,12 Lieder (Schubert),558,4,10m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
250,10,Les Préludes (v2),511a,1,16m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
251,11,Hungarian Rhapsodies for orchestra (Doppler),359,2,65m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
252,12,Années de pèlerinage I,160,14,51m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
253,13,6 trancendental etudes after Paganini (v2),141,3,6m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
254,14,2 concert etudes,145,1,4m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
255,15,"Totentanz Paraphrase on ""Dies Irae""",126ii,2,16m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
256,16,"Waltz from Gounod's ""Faust""",407,1,8m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
257,17,Les Preludes (orch),97,2,16m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
258,18,Consolations,172,5,19m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
259,19,6 Chants Polonais (Chopin),480,3,7m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
260,20,Widmung (Schumann),566,3,5m,Franz Liszt,22 oct 1811 (Raiding) -  31 jul 1886 (Bayreuth)
261,1,Symphony No. 5 in C minor,67,4,36m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
262,2,"Piano Sonata No. 14 ""Moonlight""",27:2,16,16m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
263,3,"Symphony No. 9 ""choral""",125,3,66m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
264,4,Für Elise,W59,8,4m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
265,5,Symphony No. 7 in A major,92,2,44m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
266,6,"Piano Sonata No. 8 ""Pathétique""",13,11,22m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
267,7,"Symphony No. 6 ""Pastorale""",68,3,45m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
268,8,Symphony No. 1 in C major,21,2,25m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
269,9,"Piano Concerto No. 5 ""Emperor""",73,4,39m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
270,10,"Symphony No. 3 ""Eroica""",55,4,54m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
271,11,"15 Variations with Fugue ""Eroica-Variationen""",35,3,25m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
272,12,"Piano Sonata No. 23 ""Appassionata""",57,8,24m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
273,13,Piano Sonata No. 5 in C minor,10:1,3,18m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
274,14,Piano concerto No. 1 in C major,15,4,39m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
275,15,Piano Sonata No. 1 in F minor,2:1,3,21m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
276,16,Concerto for Violin & Orchestra,61,3,45m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
277,17,Piano Sonata no. 31 in A flat major,110,7,24m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
278,18,"Piano Sonata No. 21 ""Waldstein-Sonate""",53,10,26m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
279,19,Piano Sonata No. 4 in E flat major,7,2,31m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
280,20,Symphony No. 2 in D major,36,2,36m,Ludwig van Beethoven,17 dec 1770(Bonn) -  26 mar 1827(Vienna)
