,rank,name,opus,versions,duration,composer_name,composer_life
43,10,Goldberg Variations,988,13,82m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
44,11,Mass in B minor,232,4,122m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
45,12,Magnificat in D Major,243,6,31m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
46,13,"Fugue in G minor ""Little""",578,3,4m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
47,14,Concerto for 2 violins in D minor,1043,2,18m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
48,15,Two-part inventions,772+,17,27m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
49,16,Cello Suite No. 3 in C,1009,5,23m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
50,17,Art of fugue (Die Kunst der Fuge),1080,1,35m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
51,18,Herz und Mund und Tat und Leben (contains Jesu joy of man's desiring),147,6,7m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
52,19,Brandenburg Concerto No. 3,1048,4,20m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
53,20,"Ach bleib bei uns, Herr Jesu Christ BWV649",649,4,4m,Johann Sebastian Bach,31 mar 1685 (Eisenach) -  28 jul 1750 (Leipzig)
54,1,Die Walküre (Ride of the Valkyries),86B,4,212m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
55,2,Lohengrin (contains wedding march),75,11,217m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
56,3,Tristan und Isolde,90,2,227m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
57,4,Das Rheingold,86A,4,151m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
58,5,Parsifal,111,5,272m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
59,6,Die Meistersinger von Nürnberg,96,5,265m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
60,7,Tannhäuser und der Sängerkrieg auf Wartburg,70,8,183m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
61,8,Das Liebesmahl der Apostel,69,1,11m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
62,9,Der fliegende Holländer,63,4,141m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
63,10,Siegfried,86C,2,232m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
64,11,Götterdämmerung,86D,2,227m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
65,12,Albumblatt für Frau Betty Schott,108,1,5m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
66,13,Wesendonck-Lieder,91,1,20m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
67,14,Siegfried-Idyll,103,2,18m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
68,1,Myrthen (song cycle),25,8,7m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
69,2,Frauenliebe und -leben,42,3,21m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
70,3,Kinderszenen (Scenes from childhood),15,14,22m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
71,4,Dichterliebe,48,5,27m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
72,5,Piano Concerto in A minor,54,6,34m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
73,6,Liederkreis op. 39,39,5,27m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
74,7,Fantasiestücke op. 73,73,6,19m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
75,8,"Symphony No. 3 in E flat ""Rhenish""",97,2,35m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
76,9,"Symphony No. 1 in B flat ""Spring""",38,1,31m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
77,10,Symphony No. 4 in D minor,120,2,31m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
78,11,Violin Sonata No. 1 in A Minor,105,1,17m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
79,12,Fantasiestücke op. 12,12,12,26m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
80,13,Cello Concerto in A minor,129,1,23m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
81,14,Carnaval,9,6,31m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
82,15,3 Romances op. 94,94,1,7m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
83,16,Adagio and Allegro,70,2,9m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
84,17,Violin concerto in D minor,W23,2,32m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
85,18,3 Romances op. 28,28,4,6m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
86,19,Piano Quintet,44,3,32m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
87,20,Piano Quartet in E flat major,47,2,29m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
88,1,Hungarian Dances,,6,9m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
89,2,Symphony No. 1 in C minor,68,2,44m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
90,3,Deutsches Requiem,45,2,63m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
91,4,Symphony No. 4 in E minor,98,2,44m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
92,5,11 Choral Preludes for Organ,122,1,7m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
93,6,Symphony No. 3 in F Major,90,3,39m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
94,7,Cello Sonata No. 1 in E minor,38,2,24m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
95,8,Piano Concerto No. 1 in D minor,15,1,46m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
96,9,Symphony No. 2 in D Major,73,1,42m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
97,10,16 Waltzes for Piano,39,9,21m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
98,11,12 german folk songs,W35,1,1m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
99,12,Piano Concerto No. 2,83,2,44m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
100,13,Violin Sonata No. 1 in G major,78,3,28m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
101,14,Liebeslieder Waltzes for voice and piano,52,5,25m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
102,15,2 Rhapsodies for Piano,79,9,17m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
103,16,Violin Sonata No. 3 in D minor,108,4,22m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
104,17,Schicksalslied,54,3,17m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
