opus,name,composer,album
90,"Symphony no. 4 ""Italian""",Felix Mendelssohn-Bartholdy,album1
19,"Songs without Words, Vol. I",Felix Mendelssohn-Bartholdy,album4
56,"Symphony no. 3 ""Scottish""",Felix Mendelssohn-Bartholdy,album3
70,Elias,Felix Mendelssohn-Bartholdy,album2
107,"Symphony no. 5 ""Reformation""",Felix Mendelssohn-Bartholdy,album1
69,"3 English Church Pieces: (solo voices, chorus",Felix Mendelssohn-Bartholdy,album2
14,Rondo capriccioso in E Major,Felix Mendelssohn-Bartholdy,album1
36,Paulus,Felix Mendelssohn-Bartholdy,album2
20,Octet in E Flat Major for strings,Felix Mendelssohn-Bartholdy,album3
28,"Fantasy in F Sharp minor, ""Sonate écossaise""",Felix Mendelssohn-Bartholdy,album3
30,"Songs without Words, Vol. II",Felix Mendelssohn-Bartholdy,album3
81,4 pieces for string quartet,Felix Mendelssohn-Bartholdy,album2
65:4,Sonata for organ no. 4 in B flat major,Felix Mendelssohn-Bartholdy,album4
78:3,"Psalm 22 ""Mein Gott, warum hast du""",Felix Mendelssohn-Bartholdy,album1
62,"Songs without Words, Vol. V",Felix Mendelssohn-Bartholdy,album2
12,String Quartet #1 in E Flat Major,Felix Mendelssohn-Bartholdy,album4
54,Variations sérieuses in D minor,Felix Mendelssohn-Bartholdy,album4
66,Piano Trio no. 2 in C minor,Felix Mendelssohn-Bartholdy,album2
44,6 soirées á Saint-Petersburg,Anton Rubinstein,album4
20a,Swan Lake (suite),Pyotr Ilyich Tchaikovsky,album2
23,Piano Concerto no. 1,Pyotr Ilyich Tchaikovsky,album4
71a,The Nutcracker - suite,Pyotr Ilyich Tchaikovsky,album1
71,The Nutcracker,Pyotr Ilyich Tchaikovsky,album4
74,"Symphony No.6 ""Pathétique""",Pyotr Ilyich Tchaikovsky,album2
49,1812,Pyotr Ilyich Tchaikovsky,album2
TH 42,Romeo and Juliet Overture,Pyotr Ilyich Tchaikovsky,album1
35,Violin Concerto,Pyotr Ilyich Tchaikovsky,album1
36,Symphony No.4,Pyotr Ilyich Tchaikovsky,album1
37a,The Seasons,Pyotr Ilyich Tchaikovsky,album4
66,The Sleeping Beauty,Pyotr Ilyich Tchaikovsky,album1
64,Symphony No.5,Pyotr Ilyich Tchaikovsky,album2
50,Piano Trio in A minor op. 50,Pyotr Ilyich Tchaikovsky,album3
24,Eugene Onegin,Pyotr Ilyich Tchaikovsky,album1
44,Piano Concerto No. 2,Pyotr Ilyich Tchaikovsky,album2
42,Souvenir d'un lieu cher,Pyotr Ilyich Tchaikovsky,album2
39,Children's Album,Pyotr Ilyich Tchaikovsky,album3
58,Symphony Manfred,Pyotr Ilyich Tchaikovsky,album3
56,Concert Fantasia,Pyotr Ilyich Tchaikovsky,album3
68,Pique dame,Pyotr Ilyich Tchaikovsky,album1
10,12 Etudes Op. 10,Frédéric Chopin,album3
9,Nocturnes Op.  9 (pour Madame Pleyel),Frédéric Chopin,album3
66,Fantasie Impromptu,Frédéric Chopin,album4
27,2 Nocturnes Op. 27,Frédéric Chopin,album2
49,Nocturne no. 20 in C sharp minor Posth,Frédéric Chopin,album3
11,Piano Concerto No. 1,Frédéric Chopin,album1
72:1,Nocturne no. 19 in E minor,Frédéric Chopin,album1
25,12 Etudes Op. 25,Frédéric Chopin,album4
23,Ballade No.1,Frédéric Chopin,album4
64,Waltzes for piano op 64,Frédéric Chopin,album3
28,Preludes,Frédéric Chopin,album3
21,Piano Concerto No. 2,Frédéric Chopin,album1
108,Nocturne no. 21 in C minor Posth.,Frédéric Chopin,album2
35,Piano Sonata No.2 in B flat minor,Frédéric Chopin,album2
53,Polonaise No. 6 A flat Major 'Heroic',Frédéric Chopin,album4
69,2 Waltzes Op. 69,Frédéric Chopin,album4
150,Waltz no. 19 in A minor,Frédéric Chopin,album1
37,2 Nocturnes Op. 37,Frédéric Chopin,album3
42,"Waltz no.  5 in A flat major ""Grande Valse""",Frédéric Chopin,album2
55,Nocturnes Op. 55,Frédéric Chopin,album3
139,12 Transcendental Etudes,Franz Liszt,album2
244,Hungarian Rhapsodies,Franz Liszt,album4
541,Liebesträume: 3 Notturnos,Franz Liszt,album1
124,Piano Concerto No. 1 in E flat,Franz Liszt,album2
178,Piano Sonata in B minor,Franz Liszt,album1
514,Mephisto Waltz No 1,Franz Liszt,album2
144,3 concert etudes,Franz Liszt,album3
125,Piano Concerto No. 2 in A major,Franz Liszt,album3
558,12 Lieder (Schubert),Franz Liszt,album3
511a,Les Préludes (v2),Franz Liszt,album3
359,Hungarian Rhapsodies for orchestra (Doppler),Franz Liszt,album1
160,Années de pèlerinage I,Franz Liszt,album2
141,6 trancendental etudes after Paganini (v2),Franz Liszt,album1
145,2 concert etudes,Franz Liszt,album3
126ii,"Totentanz Paraphrase on ""Dies Irae""",Franz Liszt,album2
407,"Waltz from Gounod's ""Faust""",Franz Liszt,album2
97,Les Preludes (orch),Franz Liszt,album4
172,Consolations,Franz Liszt,album1
480,6 Chants Polonais (Chopin),Franz Liszt,album1
566,Widmung (Schumann),Franz Liszt,album1
167,Sonatina in A major,Carl Czerny,album4
36:1,Sonatina Op.36 No.1 in C major,Muzio Clementi,album4
36:3,Sonatina Op.36 No.3 in C major,Muzio Clementi,album3
36:2,Sonatina Op.36 No.2 in G major,Muzio Clementi,album2
36:6,Sonatina Op.36 No.6 in D major,Muzio Clementi,album3
36:4,Sonatina Op.36 No.4 in F major,Muzio Clementi,album3
36:5,Sonatina Op.36 No.5 in G major,Muzio Clementi,album4
24:3,Piano sonata in E flat op. 24 no. 3,Muzio Clementi,album2
50:3,"Piano Sonata in G Minor ""Didone Abbandonata""",Muzio Clementi,album2
25:5,Piano Sonata No. 5 in F Sharp Minor Op. 25,Muzio Clementi,album2
24:2,Sonata in B flat Major,Muzio Clementi,album2
25:6,Piano Sonata no. 6 in D major op. 25,Muzio Clementi,album4
